UniqueNumb	read1	invert1	cond1	cond2	Notation
303	Nemandanum var kastað út af dyravörðunum í gær.	Dyraverðirnir köstuðu...	Obj-Part	NP	PO
304	Honum var kastað út af dyravörðunum í gær.	Dyraverðirnir köstuðu...	Obj-Part	PRO	PO
305	Vitninu var hleypt inn í salinn af dyravörðunum.	Dyraverðirnir hleyptu...	Obj-PartPP	NP	PO
306	Honum var hleypt inn í salinn af dyravörðunum.	Dyraverðirnir hleyptu...	Obj-PartPP	PRO	PO
307	Vitninu var hleypt inn af dyravörðunum í gær.	Dyraverðirnir hleyptu...	Obj-Part	NP	PO
308	Honum var hleypt inn af dyravörðunum í gær.	Dyraverðirnir hleyptu...	Obj-Part	PRO	PO
309	Málverkið var tekið niður af veggnum af ræstingakonunni.	Ræstingakonan tók...	Obj-PartPP	NP	PO
310	Það var tekið niður af veggnum af ræstingakonunni.	Ræstingakonan tók...	Obj-PartPP	PRO	PO
311	Málverkið var tekið niður af ræstingakonunni.	Ræstingakonan tók...	Obj-Part	NP	PO
312	Það var tekið niður af ræstingakonunni í gær.	Ræstingakonan tók...	Obj-Part	PRO	PO
313	Plakatið var hengt upp á dyrnar af kennaranum.	Kennarinn hengdi...	Obj-PartPP	NP	PO
314	Það var hengt upp á dyrnar af kennaranum.	Kennarinn hengdi...	Obj-PartPP	PRO	PO
315	Plakatið var hengt upp af kennaranum í gær.	Kennarinn hengdi...	Obj-Part	NP	PO
316	Það var hengt upp af kennaranum í gær.	Kennarinn hengdi...	Obj-Part	PRO	PO
317	Blaðið var fyllt út af nemandanum í gær.	Nemandinn fyllti...	Obj-PartMet	NP	PO
318	Það var fyllt út af nemandanum í gær.	Nemandinn fyllti...	Obj-PartMet	PRO	PO
319	Lagið var tekið upp af upptökumanninum.	Upptökumaðurinn tók...	Obj-PartMet	NP	PO
320	Það var tekið upp af upptökumanninum.	Upptökumaðurinn tók...	Obj-PartMet	PRO	PO
321	Meðferðarheimilið var lagt niður af ríkinu.	Ríkið lagði...	Obj-PartMet	NP	PO
325	Lokið var skrúfað á af ræstingakonunni.	Ræstingakonan skrúfaði...	Part-Prep	NP	PO
326	Ræningjarnir voru ekki handteknir af lögreglunni í gær.	Lögreglan handtók...	OS	NP	ON
327	Þeir voru ekki handteknir af lögreglunni í gær.	Lögreglan handtók...	OS	PRO	ON
328	Hann var ekki yfirheyrður af unga lögreglumanninum.	Ungi lögreglumaðurinn yfirheyrði...	OS	PRO	ON
329	Kalli var ekki yfirheyrður af unga lögreglumanninum.	Ungi lögreglumaðurinn yfirheyrði...	OS	NP	ON
330	Hún var ekki skipuð yfirmaður af nýja forstjóranum.	Nýi forstjórinn...	OS	PRO	ON
331	Konan var ekki skipuð yfirmaður af nýja forstjóranum.	Nýi forstjórinn...	OS	NP	ON
332	Hann var ekki gagnrýndur af vinnufélögunum á fundinum.	Vinnufélagarnir gagnrýndu...	OS	PRO	ON
333	Hann var ekki sleginn af ræningjunum.	Ræningjarnir slógu...	OS	PRO	ON
334	Gagnrýnandinn var ekki heillaður af nýju sýningunni.	Nýja sýningin heillaði...	OS	NP	ON
335	Hann var ekki heillaður af nýju sýningunni.	Nýja sýningin heillaði...	OS	PRO	ON
336	Hann var ekki gagnrýndur af blaðamanninum fyrir ræðuna.	Blaðamaðurinn gagnrýndi...	OS	PRO	ON
370	Konan var aldrei kastað út af barnum af dyravörðunum.	Dyraverðirnir köstuðu...	OA	NP	OAP
371	Ræningjarnir voru líklega yfirheyrðir af unga lögreglumanninum.	Ungi lögreglumaðurinn yfirheyrði...	OA	NP	OA
372	Leyndarmálið var grafið upp af unga blaðamanninum.	Ungi blaðamaðurinn gróf...	Obj-Part	NP	OP
