type	UniqueNumber	Word.order	Realization1
Produce	211	ONS	Í gær hjálpaði mér ekki hún með heimavinnuna.
Produce	211	OSN	Í gær hjálpaði mér hún ekki með heimavinnuna.
Produce	211	SNO	Í gær hjálpaði hún ekki mér með heimavinnuna.
Produce	211	SON	Í gær hjálpaði hún mér ekki með heimavinnuna.
Produce	212	NOS	Í fyrra bauð ekki mér hann nýja vinnu.
Produce	212	NSO	Í fyrra bauð ekki hann mér nýja vinnu.
Produce	212	ONS	Í fyrra bauð mér ekki hann nýja vinnu.
Produce	212	OSN	Í fyrra bauð mér hann ekki nýja vinnu.
Produce	212	SNO	Í fyrra bauð hann ekki mér nýja vinnu.
Produce	212	SON	Í fyrra bauð hann mér ekki nýja vinnu.
Produce	213	NOS	Í gær sýndi ekki mér hann nein atriði úr myndinni.
Produce	213	NSO	Í gær sýndi ekki hann mér nein atriði úr myndinni.
Produce	213	ONS	Í gær sýndi mér ekki hann nein atriði úr myndinni.
Produce	213	OSN	Í gær sýndi mér hann ekki nein atriði úr myndinni.
Produce	213	SNO	Í gær sýndi hann ekki mér nein atriði úr myndinni.
Produce	213	SON	Í gær sýndi hann mér ekki nein atriði úr myndinni.
Produce	214	NOS	Í gær gaf ekki mér hann nýtt brauð.
Produce	214	NSO	Í gær gaf ekki hann mér nýtt brauð.
Produce	214	ONS	Í gær gaf mér ekki hann nýtt brauð.
Produce	214	OSN	Í gær gaf mér hann ekki nýtt brauð.
Produce	214	SNO	Í gær gaf hann ekki mér nýtt brauð.
Produce	214	SON	Í gær gaf hann mér ekki nýtt brauð.
Produce	216	NRS	Í gær rakaði ekki sig lögreglumaðurinn með rakvél.
Produce	216	NSR	Í gær rakaði ekki lögreglumaðurinn sig með rakvél.
Produce	216	RNS	Í gær rakaði sig ekki lögreglumaðurinn með rakvél.
Produce	216	RSN	Í gær rakaði sig lögreglumaðurinn ekki með rakvél.
Produce	216	SNR	Í gær rakaði lögreglumaðurinn ekki sig með rakvél.
Produce	216	SRN	Í gær rakaði lögreglumaðurinn sig ekki með rakvél.
Produce	217	NRS	Í gær fann ekki sig leikmaðurinn í leiknum.
Produce	217	NSR	Í gær fann ekki leikmaðurinn sig í leiknum.
Produce	217	RNS	Í gær fann sig ekki leikmaðurinn í leiknum.
Produce	217	RSN	Í gær fann sig leikmaðurinn ekki í leiknum.
Produce	217	SNR	Í gær fann leikmaðurinn ekki sig í leiknum.
Produce	217	SRN	Í gær fann leikmaðurinn sig ekki í leiknum.
Produce	218	NRS	Í gær sneri ekki sér leikarinn í átt að áhorfendum.
Produce	218	NSR	Í gær sneri ekki leikarinn sér í átt að áhorfendum.
Produce	218	RNS	Í gær sneri sér ekki leikarinn í átt að áhorfendum.
Produce	218	RSN	Í gær sneri sér leikarinn ekki í átt að áhorfendum.
Produce	218	SNR	Í gær sneri leikarinn ekki sér í átt að áhorfendum.
Produce	218	SRN	Í gær sneri leikarinn sér ekki í átt að áhorfendum.
Produce	220	NRS	Í gær þvoði ekki sér hlauparinn eftir hlaupið.
Produce	220	NSR	Í gær þvoði ekki hlauparinn sér eftir hlaupið.
Produce	220	RNS	Í gær þvoði sér ekki hlauparinn eftir hlaupið.
Produce	220	RSN	Í gær þvoði sér hlauparinn ekki eftir hlaupið.
Produce	220	SNR	Í gær þvoði hlauparinn ekki sér eftir hlaupið.
Produce	220	SRN	Í gær þvoði hlauparinn sér ekki eftir hlaupið.
Produce	271	NOS	Í gær hjálpaði ekki nemandanum hún með heimavinnuna.
Produce	271	NSO	Í gær hjálpaði ekki hún nemandanum með heimavinnuna.
Produce	271	ONS	Í gær hjálpaði nemandanum ekki hún með heimavinnuna.
Produce	271	OSN	Í gær hjálpaði nemandanum hún ekki með heimavinnuna.
Produce	271	SNO	Í gær hjálpaði hún ekki nemandanum með heimavinnuna.
Produce	271	SON	Í gær hjálpaði hún nemandanum ekki með heimavinnuna.
Produce	272	NOS	Í gær keypti ekki bókina nemandinn.
Produce	272	NSO	Í gær keypti ekki nemandinn bókina.
Produce	272	ONS	Í gær keypti bókina ekki nemandinn.
Produce	272	OSN	Í gær keypti bókina nemandinn ekki.
Produce	272	SNO	Í gær keypti nemandinn ekki bókina.
Produce	272	SON	Í gær keypti nemandinn bókina ekki.
Produce	301	OP	Dyraverðirnir köstuðu nemandanum út af barnum.
Produce	301	PO	Dyraverðirnir köstuðu út nemandanum af barnum.
Produce	302	OP	Dyraverðirnir köstuðu honum út af barnum.
Produce	302	PO	Dyraverðirnir köstuðu út honum af barnum.
Produce	303	OP	Dyraverðirnir köstuðu nemandanum út í gær.
Produce	303	PO	Dyraverðirnir köstuðu út nemandanum í gær.
Produce	304	OP	Dyraverðirnir köstuðu honum út í gær.
Produce	304	PO	Dyraverðirnir köstuðu út honum í gær.
Produce	305	OP	Dyraverðirnir hleyptu vitninu inn í salinn.
Produce	305	PO	Dyraverðirnir hleyptu inn vitninu í salinn.
Produce	306	OP	Dyraverðirnir hleyptu honum inn í salinn.
Produce	306	PO	Dyraverðirnir hleyptu inn honum í salinn.
Produce	307	OP	Dyraverðirnir hleyptu vitninu inn í gær.
Produce	307	PO	Dyraverðirnir hleyptu inn vitninu í gær.
Produce	308	OP	Dyraverðirnir hleyptu honum inn í gær.
Produce	308	PO	Dyraverðirnir hleyptu inn honum í gær.
Produce	309	OP	Ræstingakonan tók málverkið niður af veggnum.
Produce	309	PO	Ræstingakonan tók niður málverkið af veggnum.
Produce	310	OP	Ræstingakonan tók það niður af veggnum.
Produce	310	PO	Ræstingakonan tók niður það af veggnum.
Produce	311	OP	Ræstingakonan tók málverkið niður.
Produce	311	PO	Ræstingakonan tók niður málverkið.
Produce	312	OP	Ræstingakonan tók það niður í gær.
Produce	312	PO	Ræstingakonan tók niður það í gær.
Produce	313	OP	Kennarinn hengdi plakatið upp á dyrnar.
Produce	313	PO	Kennarinn hengdi upp plakatið á dyrnar.
Produce	314	OP	Kennarinn hengdi það upp á dyrnar.
Produce	314	PO	Kennarinn hengdi upp það á dyrnar.
Produce	315	OP	Kennarinn hengdi plakatið upp í gær.
Produce	315	PO	Kennarinn hengdi upp plakatið í gær.
Produce	316	OP	Kennarinn hengdi það upp í gær.
Produce	316	PO	Kennarinn hengdi upp það í gær.
Produce	317	OP	Nemandinn fyllti blaðið út í gær.
Produce	317	PO	Nemandinn fyllti út blaðið í gær.
Produce	318	OP	Nemandinn fyllti það út í gær.
Produce	318	PO	Nemandinn fyllti út það í gær.
Produce	319	OP	Upptökumaðurinn tók lagið upp.
Produce	319	PO	Upptökumaðurinn tók upp lagið.
Produce	320	OP	Upptökumaðurinn tók það upp.
Produce	320	PO	Upptökumaðurinn tók upp það.
Produce	321	OP	Ríkið lagði meðferðarheimilið niður.
Produce	321	PO	Ríkið lagði niður meðferðarheimilið.
Produce	325	OP	Ræstingakonan skrúfaði lokið á.
Produce	325	PO	Ræstingakonan skrúfaði á lokið.
Produce	326	ON	Lögreglan handtók ræningjana ekki í gær.
Produce	326	NO	Lögreglan handtók ekki ræningjana í gær.
Produce	327	ON	Lögreglan handtók þá ekki í gær.
Produce	327	NO	Lögreglan handtók ekki þá í gær.
Produce	328	ON	Ungi lögreglumaðurinn yfirheyrði hann ekki.
Produce	328	NO	Ungi lögreglumaðurinn yfirheyrði ekki hann.
Produce	329	ON	Ungi lögreglumaðurinn yfirheyrði Kalla ekki.
Produce	329	NO	Ungi lögreglumaðurinn yfirheyrði ekki Kalla.
Produce	330	ON	Nýi forstjórinn skipaði hana ekki yfirmaður.
Produce	330	NO	Nýi forstjórinn skipaði ekki hana yfirmaður.
Produce	331	ON	Nýi forstjórinn skipaði konuna ekki yfirmaður.
Produce	331	NO	Nýi forstjórinn skipaði ekki konuna yfirmaður.
Produce	332	ON	Vinnufélagarnir gagnrýndu hann ekki á fundinum.
Produce	332	NO	Vinnufélagarnir gagnrýndu ekki hann á fundinum.
Produce	333	ON	Ræningjarnir slógu hann ekki.
Produce	333	NO	Ræningjarnir slógu ekki hann.
Produce	334	ON	Nýja sýningin heillaði gagnrýnandann ekki.
Produce	334	NO	Nýja sýningin heillaði ekki gagnrýnandann.
Produce	335	ON	Nýja sýningin heillaði hann ekki.
Produce	335	NO	Nýja sýningin heillaði ekki hann.
Produce	336	ON	Blaðamaðurinn gagnrýndi hann ekki fyrir ræðuna.
Produce	336	NO	Blaðamaðurinn gagnrýndi ekki hann fyrir ræðuna.
Produce	370	OAP	Dyraverðirnir köstuðu konunni aldrei út af barnum.
Produce	370	POA	Dyraverðirnir köstuðu út konunni aldrei af barnum.
Produce	370	PAO	Dyraverðirnir köstuðu út aldrei konunni af barnum.
Produce	370	APO	Dyraverðirnir köstuðu aldrei út konunni af barnum.
Produce	370	AOP	Dyraverðirnir köstuðu aldrei konunni út af barnum.
Produce	370	OPA	Dyraverðirnir köstuðu konunni út aldrei af barnum.
Produce	371	OA	Ungi lögreglumaðurinn yfirheyrði ræningjana líklega.
Produce	371	AO	Ungi lögreglumaðurinn yfirheyrði ræningjana líklega.
Produce	372	OP	Ungi blaðamaðurinn gróf leyndarmálið upp.
Produce	372	PO	Ungi blaðamaðurinn gróf upp leyndarmálið.
