UniqueNumb	item	subitem	name	Main1	Emb1	cond11	cond12	adv1	Participant
813	52	a	XXX:	Si til Eline at jeg vanligvis hater lutefisk. 	...	V2	none	vanligvis	2
716	47	b	XXX:	Spør Eline om korsn hun gjorde det. 	...	ObjQlong	obj	none	2
807	55	a	XXX:	Si til Eline at jeg nesten gråt av glede da TIL scoret.	...	V3	none	nesten	2
720	48	b	XXX:	Spør Eline om hvor hun bor nå.	…	SubQshort	sub	none	2
805	53	a	XXX:	Si til Eline at Norge heldigvis gruset Danmark i finalen.	...	V2	none	heldigvis	2
815	54	a	XXX:	Si til Eline at TIL bokstavelig talt knuste Rosenborg i bortekampen.	...	V3	none	bokstavelig talt	2
706	45	b	XXX:	Spør Eline om hvem Synne er sammen med.	...	ObjQshort	obj	none	2
708	46	b	XXX:	Spør Eline om når Pål flyttet til Tromsø.	...	ObjQlong	obj	none	2
714	43	b	XXX:	Spør Eline om korsn bøker som var spennende.	...	SubQlong	sub	none	2
712	42	b	XXX:	Spør Eline om hvor mange lag som deltok i turneringa.	...	SubQlong	sub	none	2
710	44	b	XXX:	Spør Eline om hva hun jobber med.	...	ObjQshort	obj	none	2
817	56	a	XXX:	Si til Eline at jeg nesten fikk alt rett på matteprøven.	...	V2	none	nesten	2
809	57	a	XXX:	Si til Eline at jeg nesten hylte av glede etter kampen.	...	V3	none	nesten	2
704	41	b	XXX:	Spør Eline om hva som ble sagt i møtet.	...	SubQshort	sub	none	2
718	49	b	XXX:	Spør Eline om hvem Anne er i lag med.	...	ObjQshort	obj	none	2
702	40	b	XXX:	Spør Eline om hvem som laget maten.	...	SubQshort	sub	none	2
811	58	a	XXX:	Si til Eline at problemet så godt som forsvant i fjor.	...	V3	none	så godt som	2
651	35	a	XXX:	Si til Eline at jeg har glemt nøklene mine hjemme.	...	FillerDecl	NonReflexive	none	2
701	40	a	YYY:	Spør Tor Håvard om kem som laga maten.	...	SubQshort	sub	none	1
703	41	a	YYY:	Spør Tor Håvard om ka som blei sagt i møtet.	...	SubQshort	sub	none	1
711	42	a	YYY:	Spør Tor Håvard om kor mange lag som deltok i turneringa.	...	SubQlong	sub	none	1
812	58	b	YYY:	Si til Tor Håvard at artisten så godt som fylte arenaen.	…	V3	none	så godt som	1
705	45	a	YYY:	Spør Tor Håvard om kem Marius er ilag med.	...	ObjQshort	obj	none	1
652	35	b	YYY:	Si til Tor Håvard at eg hadde glemt klokka mi hjemme.	...	FillerDecl	NonReflexive	none	1
713	43	a	YYY:	Spør Tor Håvard om korsn bøker som va spennaness.	...	SubQlong	sub	none	1
709	44	a	YYY:	Spør Tor Håvard om ka han jobbe med.	...	ObjQshort	obj	none	1
818	56	b	YYY:	Si til Tor Håvard at eg nesten fikk alt rett på kjemiprøven.	...	V2	none	nesten	1
808	55	b	YYY:	Si til Tor Håvard at eg nesten hylte av glede etter kampen.	...	V3	none	nesten	1
806	53	b	YYY:	Si til Tor Håvard at Rosenborg dessverre knuste TIL i hjemmekampen.	...	V2	none	dessverre	1
816	54	b	YYY:	Si til Tor Håvard at Norge bokstavelig talt grusa Danmark i finalen.	...	V3	none	bokstavelig talt	1
810	57	b	YYY:	Si til Tor Håvard at eg nesten gråt av glede da TIL scora.	...	V3	none	nesten	1
707	46	a	YYY:	Spør Tor Håvard om katti Eirik flytta til Oslo.	...	ObjQlong	obj	none	1
715	47	a	YYY:	Spør Tor Håvard om korsn han gjor det. 	...	ObjQlong	obj	none	1
804	51	b	YYY:	Si til Tor Håvard at eg rett og slett elske marsipan.	...	V3	none	simpelthen	1
802	50	b	YYY:	Si til Tor Håvard at skolen mer enn halverte sykefraværet i fjor.	...	V3	none	mer enn	1
814	52	b	YYY:	Si til Tor Håvard at eg vanligvis hate kjøttkake.	...	V2	none	vanligvis	1
717	49	a	YYY:	Spør Tor Håvard om kem Marit er ilag med.	...	ObjQshort	obj	none	1
719	48	a	YYY:	Spør Tor Håvård om kor han skal på ferie.	...	SubQshort	sub	none	1
